Temperature,Concentration,Viscosity,Boiling Point,Freezing Point,Molecular mass + (u),Ionic radius + (pm),Charge number +,Molecular mass - (u),Ionic radius - (pm),Charge number -,Shielding Effect+,Reduction in Activity Coefficient+,Molecular Polarization+,Shielding Effect-,Reduction in Activity Coefficient-,Molecular Polarization-,Dielectric
0,0.5,1150,100.03,-0.2,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,87.11
0,1,2333.33,100.05,-0.39,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,86.41
0,1.5,3550,100.07,-0.58,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,85.74
0,2,4800,100.08,-0.77,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,85.08
0,2.5,6083.33,100.1,-0.96,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,84.45
0,3,7400,100.12,-1.16,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,83.82
0,3.5,8750,100.13,-1.35,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,83.21
0,4,10133.33,100.15,-1.54,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,82.61
0,4.5,11550,100.17,-1.73,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,82.02
0,5,13000,100.18,-1.92,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,81.44
10,1.2,1564.44,100.06,-0.47,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,82.29
10,2.4,2240,100.1,-0.93,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,80.79
10,3.6,2654.12,100.14,-1.38,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,79.38
10,4.8,2956.19,100.18,-1.84,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,78.02
10,6,3200,100.22,-2.3,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,76.72
10,7.2,3409.66,100.25,-2.76,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,75.47
10,8.4,3597.58,100.29,-3.22,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,74.27
10,9.6,3770.81,100.33,-3.68,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,73.11
10,10.8,3933.66,100.37,-4.13,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,71.98
10,12,4088.89,100.4,-4.59,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,70.89
20,1.9,1286.98,100.08,-0.74,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,77.77
20,3.8,1578.46,100.14,-1.46,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,75.61
20,5.7,1754.19,100.21,-2.19,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,73.6
20,7.6,1893.17,100.27,-2.91,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,71.71
20,9.5,2015.85,100.33,-3.64,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,69.93
20,11.4,2129.88,100.39,-4.36,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,68.24
20,13.3,2238.75,100.44,-5.09,22.99,102,1,60.01,200,-2,1,1,1,3,3,3,66.64
