Temperature,Concentration,Viscosity,Boiling Point,Freezing Point,Molecular mass + (u),Ionic radius + (pm),Charge number +,Molecular mass - (u),Ionic radius - (pm),Charge number -,Shielding Effect+,RAC+,Molecular Polarization+,Shielding Effect-,RAC-,Molecular Polarization-,Category,Duration,Cumulative_Hazard,Dielectric
0,9.5,1114.19,100.29,-1.13,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,1,2.681212938,80.03
0,19,832.36,100.57,-1.84,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,2,2.667382517,73.32
0,28.5,649.21,100.86,-2.53,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,3,2.655075951,67.32
0,38,523.99,101.14,-3.21,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,4,2.644007839,61.9
0,47.5,434.75,101.43,-3.89,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,5,2.633980425,56.97
0,57,368.96,101.71,-4.57,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,6,2.624881046,52.48
0,66.5,319.04,102,-5.24,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,7,2.616639831,48.4
0,76,280.24,102.28,-5.92,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,8,2.609168445,44.69
0,85.5,249.45,102.57,-6.6,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,9,2.602440375,41.34
0,95,224.57,102.85,-7.27,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,10,2.596369931,38.31
10,15.2,929.96,100.46,-1.56,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,11,2.665738351,72.52
10,30.4,620.42,100.91,-2.67,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,12,2.646739935,63.24
10,45.6,450.42,101.37,-3.75,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,13,2.630653171,55.33
10,60.8,347.4,101.82,-4.84,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,14,2.61690202,48.53
10,76,280.24,102.28,-5.92,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,15,2.605169676,42.7
10,91.2,233.92,102.74,-7,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,16,2.595189545,37.72
10,106.4,200.52,103.19,-8.08,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,17,2.586802292,33.52
10,121.6,175.56,103.65,-9.16,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,18,2.579873392,30.04
10,136.8,156.35,104.1,-10.24,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,19,2.574331732,27.25
10,152,141.21,104.56,-11.32,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,20,2.570029783,25.08
20,21,787.37,100.63,-1.99,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,21,2.6518038,65.72
20,42,482.9,101.26,-3.53,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,22,2.629051908,54.54
20,63,335.29,101.89,-5,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,23,2.610817964,45.51
20,84,253.87,102.52,-6.49,107.87,115,1,14.01,180,-1,2,2,3,2,2,2,2,24,2.596129809,38.19
